orders,,,,,,,,,,,
,Customer ID,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,
Recipt 1,101,,2,1,,,4,,,,
Recipt 2,103,,1,3,2,1,,4,,1,
Recipt 3,201,,2,,,3,,,,,
Recipt 4,101,1,,1,1,,,1,,1,
Recipt 5,202,2,,,,,,,,,
Recipt 6,103,,2,,,1,,3,1,,
,,,,,,,,,,,
,,,,,,,,,,,
counts of all possible combinations,,,,,,,,,,,
,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,total,
Item1,,0,1,1,0,0,1,0,1,4,
Item2,0,,2,1,3,1,2,1,1,11,
Item3,1,2,,2,1,1,2,0,2,11,
Item4,1,1,2,,1,0,2,0,2,9,
Item5,0,3,1,1,,0,2,1,1,9,
Item6,0,1,1,0,0,,0,0,0,2,
Item7,1,2,2,2,2,0,,1,2,12,
Item8,0,1,0,0,1,0,1,,0,3,
Item9,1,1,2,2,1,0,2,0,,9,
,,,,,,,,,,,
,,,,,,,,,,,
confidence,,,,,,,,,,,
,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,,
Item1,,,0.25,0.25,,,0.25,,0.25,,
Item2,,,0.181818182,0.090909091,0.272727273,0.090909091,0.181818182,0.090909091,0.090909091,,
Item3,0.090909091,0.181818182,,0.181818182,0.090909091,0.090909091,0.181818182,,0.181818182,,
Item4,0.111111111,0.111111111,0.222222222,,0.111111111,,0.222222222,,0.222222222,,
Item5,,0.333333333,0.111111111,0.111111111,,,0.222222222,0.111111111,0.111111111,,
Item6,,0.5,0.5,,,,,,,,
Item7,0.083333333,0.166666667,0.166666667,0.166666667,0.166666667,,,0.083333333,0.166666667,,
Item8,,0.333333333,,,0.333333333,,0.333333333,,,,
Item9,0.111111111,0.111111111,0.222222222,0.222222222,0.111111111,,0.222222222,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
