,XID,YID,n_XY,n_X,n_Y,n_Transactions,Support,Confidence,Lift
0,FUR-BO-10000112,OFF-AR-10001149,1,1,7,5009,0.000199641,1,0.142857143
1,FUR-CH-10004289,OFF-AR-10001149,1,7,7,5009,0.001397485,0.142857143,0.020408163
2,FUR-CH-10004997,OFF-AR-10001149,1,10,7,5009,0.001996406,0.1,0.014285714
3,FUR-FU-10001706,OFF-AR-10001149,1,10,7,5009,0.001996406,0.1,0.014285714
4,FUR-TA-10003569,OFF-AR-10001149,1,6,7,5009,0.001197844,0.166666667,0.023809524
5,OFF-BI-10001989,OFF-AR-10001149,1,10,7,5009,0.001996406,0.1,0.014285714
6,OFF-BI-10004781,OFF-AR-10001149,1,5,7,5009,0.000998203,0.2,0.028571429
7,OFF-FA-10000134,OFF-AR-10001149,1,5,7,5009,0.000998203,0.2,0.028571429
8,OFF-FA-10002988,OFF-AR-10001149,1,8,7,5009,0.001597125,0.125,0.017857143
9,OFF-LA-10001045,OFF-AR-10001149,1,6,7,5009,0.001197844,0.166666667,0.023809524
10,OFF-PA-10000130,OFF-AR-10001149,1,4,7,5009,0.000798563,0.25,0.035714286
11,OFF-PA-10000791,OFF-AR-10001149,1,6,7,5009,0.001197844,0.166666667,0.023809524
12,OFF-PA-10001736,OFF-AR-10001149,1,5,7,5009,0.000998203,0.2,0.028571429
13,OFF-PA-10001804,OFF-AR-10001149,1,8,7,5009,0.001597125,0.125,0.017857143
14,OFF-PA-10002479,OFF-AR-10001149,1,8,7,5009,0.001597125,0.125,0.017857143
15,OFF-PA-10004041,OFF-AR-10001149,1,6,7,5009,0.001197844,0.166666667,0.023809524
16,OFF-ST-10001490,OFF-AR-10001149,1,13,7,5009,0.002595328,0.076923077,0.010989011
17,OFF-ST-10004950,OFF-AR-10001149,1,11,7,5009,0.002196047,0.090909091,0.012987013
18,OFF-SU-10001218,OFF-AR-10001149,1,7,7,5009,0.001397485,0.142857143,0.020408163
19,TEC-AC-10000420,OFF-AR-10001149,1,4,7,5009,0.000798563,0.25,0.035714286
20,FUR-BO-10000112,OFF-PA-10004041,1,1,6,5009,0.000199641,1,0.166666667
21,FUR-FU-10000747,OFF-PA-10004041,1,7,6,5009,0.001397485,0.142857143,0.023809524
22,OFF-AR-10001149,OFF-PA-10004041,1,7,6,5009,0.001397485,0.142857143,0.023809524
23,OFF-AR-10002956,OFF-PA-10004041,1,6,6,5009,0.001197844,0.166666667,0.027777778
24,OFF-BI-10002764,OFF-PA-10004041,1,8,6,5009,0.001597125,0.125,0.020833333
25,OFF-PA-10001972,OFF-PA-10004041,1,9,6,5009,0.001796766,0.111111111,0.018518519
26,TEC-AC-10001267,OFF-PA-10004041,1,5,6,5009,0.000998203,0.2,0.033333333
27,TEC-AC-10002217,OFF-PA-10004041,1,7,6,5009,0.001397485,0.142857143,0.023809524
28,TEC-PH-10001336,OFF-PA-10004041,1,9,6,5009,0.001796766,0.111111111,0.018518519
29,TEC-PH-10003645,OFF-PA-10004041,1,7,6,5009,0.001397485,0.142857143,0.023809524
30,FUR-BO-10000330,FUR-BO-10003159,1,3,7,5009,0.000598922,0.333333333,0.047619048
31,FUR-FU-10002364,FUR-BO-10003159,1,12,7,5009,0.002395688,0.083333333,0.011904762
32,OFF-AP-10003590,FUR-BO-10003159,1,3,7,5009,0.000598922,0.333333333,0.047619048
33,OFF-AR-10004602,FUR-BO-10003159,1,7,7,5009,0.001397485,0.142857143,0.020408163
34,OFF-BI-10000050,FUR-BO-10003159,1,10,7,5009,0.001996406,0.1,0.014285714
35,OFF-BI-10001900,FUR-BO-10003159,1,4,7,5009,0.000798563,0.25,0.035714286
36,OFF-BI-10002414,FUR-BO-10003159,1,5,7,5009,0.000998203,0.2,0.028571429
37,OFF-BI-10003350,FUR-BO-10003159,1,4,7,5009,0.000798563,0.25,0.035714286
38,OFF-LA-10003510,FUR-BO-10003159,1,11,7,5009,0.002196047,0.090909091,0.012987013
39,OFF-LA-10004093,FUR-BO-10003159,1,9,7,5009,0.001796766,0.111111111,0.015873016
40,OFF-PA-10002713,FUR-BO-10003159,1,8,7,5009,0.001597125,0.125,0.017857143
41,OFF-PA-10003651,FUR-BO-10003159,1,5,7,5009,0.000998203,0.2,0.028571429
42,OFF-ST-10003470,FUR-BO-10003159,1,6,7,5009,0.001197844,0.166666667,0.023809524
43,TEC-AC-10003023,FUR-BO-10003159,1,5,7,5009,0.000998203,0.2,0.028571429
44,TEC-PH-10001459,FUR-BO-10003159,1,6,7,5009,0.001197844,0.166666667,0.023809524
45,FUR-BO-10000330,FUR-FU-10001731,1,3,8,5009,0.000598922,0.333333333,0.041666667
46,FUR-CH-10001394,FUR-FU-10001731,1,7,8,5009,0.001397485,0.142857143,0.017857143
47,FUR-FU-10003194,FUR-FU-10001731,1,4,8,5009,0.000798563,0.25,0.03125
48,OFF-BI-10000591,FUR-FU-10001731,1,4,8,5009,0.000798563,0.25,0.03125
49,OFF-BI-10002557,FUR-FU-10001731,1,8,8,5009,0.001597125,0.125,0.015625
50,OFF-EN-10004030,FUR-FU-10001731,1,6,8,5009,0.001197844,0.166666667,0.020833333
51,OFF-PA-10002160,FUR-FU-10001731,1,8,8,5009,0.001597125,0.125,0.015625
52,OFF-PA-10002659,FUR-FU-10001731,1,5,8,5009,0.000998203,0.2,0.025
53,TEC-AC-10002567,FUR-FU-10001731,1,9,8,5009,0.001796766,0.111111111,0.013888889
54,TEC-MA-10001127,FUR-FU-10001731,1,3,8,5009,0.000598922,0.333333333,0.041666667
55,FUR-BO-10000330,OFF-BI-10000591,1,3,4,5009,0.000598922,0.333333333,0.083333333
56,FUR-FU-10001731,OFF-BI-10000591,1,8,4,5009,0.001597125,0.125,0.03125
57,OFF-AR-10000823,OFF-BI-10000591,1,3,4,5009,0.000598922,0.333333333,0.083333333
58,OFF-AR-10004456,OFF-BI-10000591,1,4,4,5009,0.000798563,0.25,0.0625
59,OFF-BI-10000050,OFF-BI-10000591,1,10,4,5009,0.001996406,0.1,0.025
60,OFF-BI-10001721,OFF-BI-10000591,1,4,4,5009,0.000798563,0.25,0.0625
61,OFF-PA-10000157,OFF-BI-10000591,1,10,4,5009,0.001996406,0.1,0.025
62,OFF-PA-10001534,OFF-BI-10000591,1,5,4,5009,0.000998203,0.2,0.05
63,OFF-PA-10002377,OFF-BI-10000591,1,14,4,5009,0.002794969,0.071428571,0.017857143
64,TEC-AC-10001109,OFF-BI-10000591,1,9,4,5009,0.001796766,0.111111111,0.027777778
65,TEC-AC-10003038,OFF-BI-10000591,1,13,4,5009,0.002595328,0.076923077,0.019230769
66,TEC-AC-10003174,OFF-BI-10000591,1,6,4,5009,0.001197844,0.166666667,0.041666667
67,TEC-PH-10004700,OFF-BI-10000591,1,4,4,5009,0.000798563,0.25,0.0625
68,FUR-BO-10000330,OFF-BI-10001900,1,3,4,5009,0.000598922,0.333333333,0.083333333
69,FUR-BO-10003159,OFF-BI-10001900,1,7,4,5009,0.001397485,0.142857143,0.035714286
